FID,Shape *,ID,Functional,Treatmentb,PavementCl,STREETNAME,PlanActivi,From1,BeginningS,EndingStat,PavementWi,Length,To1,NPR,OCI,ExtendedCo,Route_ID
276,Polyline M,41,AR - Arterial,BR,BC - Bituminous Concrete,BEACON ST,(BR) Recon/Reclaim Arterial w/ramps,CAMBRIDGE TOWNLINE,0,856,44.5,856,BUCKINGHAM ST,63.75,22.18,688871.93,41
277,Polyline M,41.05,AR - Arterial,SI,BC - Bituminous Concrete,BEACON ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",BUCKINGHAM ST,856,1655,44.5,799,230' S OF WASHINGTON ST,65.33,27.32,361362.3,41
278,Polyline M,41.1,AR - Arterial,BR,BC - Bituminous Concrete,BEACON ST,(BR) Recon/Reclaim Arterial w/ramps,230' S OF WASHINGTON ST,1655,2551,42.5,896,PROPERZI WAY (S),64.33,24.06,688655.46,41
279,Polyline M,391,RT - Residential Local,RM,BC - Bituminous Concrete,MINNESOTA AVE,(RM) Crack Seal,BROADWAY (W),0,572,25,572,PENNSYLVANIA AVE,63.68,76.96,2875.89,391
280,Polyline M,390,RT - Residential Local,PM,BC - Bituminous Concrete,MINER ST,(PM) Pavement Patching,AMES ST,0,286,26,286,VERNON ST,57.77,57.76,15351.17,390
281,Polyline M,406,RT - Residential Local,PM,BC - Bituminous Concrete,MOUNT PLEASANT ST,(PM) Pavement Patching,BROADWAY (E),0,716,23,716,DEAD END,57.38,56.48,33997.31,406
282,Polyline M,400.1,CO - Collector,RM,BC - Bituminous Concrete,MORRISON AVE,(RM) Crack Seal,WILLOW AVE,1437,3158,26.5,1721,COLLEGE AVE,78.36,87.16,9171.98,400
283,Polyline M,403,RT - Residential Local,RM,BC - Bituminous Concrete,MORTON ST,(RM) Crack Seal,KNOWLTON ST,0,326,26.5,326,GLEN ST,66.18,85.08,1737.4,403
284,Polyline M,404,RT - Residential Local,PM,BC - Bituminous Concrete,MOSSLAND ST,(PM) Pavement Patching,SOMERVILLE AVE,0,448,26.5,448,ELM ST,55.7,51.04,24509.06,404
285,Polyline M,1001,CO - Collector,RM,BC - Bituminous Concrete,BROADWAY,(RM) Crack Seal,ARLINGTON TOWNLINE,0,2518,43,2518,WESTMINSTER ST,75.99,76.96,21775.1,1001
286,Polyline M,400,CO - Collector,DN,BC - Bituminous Concrete,MORRISON AVE,Do Nothing,CEDAR ST,0,1437,33,1437,WILLOW AVE,80.1,92.83,0,400
287,Polyline M,4,RE - Residential Dead End,SI,BC - Bituminous Concrete,ACADIA PARK,"(SI) 2"" Mill & Overlay Local w/ramps",SOMERVILLE AVE,0,274,26.5,274,DEAD END,35.06,26.45,62210.81,4
288,Polyline M,398,RT - Residential Local,DN,BC - Bituminous Concrete,MORELAND ST,Do Nothing,MAIN ST,0,1555,26.5,1555,MYSTIC AVE,67.64,89.84,0,398
289,Polyline M,399,RT - Residential Local,PM,BC - Bituminous Concrete,MORGAN ST,(PM) Pavement Patching,PARK ST,0,432,26.5,432,BEACON ST,60.39,66.26,23633.76,399
290,Polyline M,1001.1,CO - Collector,SI,BC - Bituminous Concrete,BROADWAY,"(SI) 3"" Mill & Overlay Art/Col w/ramps",WESTMINSTER ST,2518,4233,48,1715,WALLACE ST,66.17,45.05,836645.9,1001
291,Polyline M,89,RT - Residential Local,RM,BC - Bituminous Concrete,CAMPBELL PARK,(RM) Crack Seal,MEACHAM RD,0,432,26.5,432,KINGSTON ST,66.65,86.6,2302.32,89
292,Polyline M,88,CO - Collector,SI,BC - Bituminous Concrete,CAMERON AVE,"(SI) 3"" Mill & Overlay Art/Col w/ramps",HOLLAND ST,0,1097,40,1097,CAMBRIDGE TOWNLINE,65.23,44.51,445967.47,88
293,Polyline M,87,RT - Residential Local,DN,BC - Bituminous Concrete,CAMBRIA ST,Do Nothing,CENTRAL ST,0,527,26.5,527,BENTON RD,70.08,97.75,0,87
294,Polyline M,86,RT - Residential Local,PM,BC - Bituminous Concrete,CALVIN ST,(PM) Pavement Patching,WASHINGTON ST,0,722,23,722,BEACON ST,55.98,51.92,34282.14,86
295,Polyline M,84,RE - Residential Dead End,DN,BC - Bituminous Concrete,CADY AVE,Do Nothing,SIMPSON AVE,0,222,26,222,DEAD END,53.68,86.95,0,84
296,Polyline M,83,RT - Residential Local,RM,BC - Bituminous Concrete,BUTLER DR,(RM) Crack Seal,MYSTIC AVE,0,512,26.5,512,DEAD END,61.78,70.8,2728.68,83
297,Polyline M,82,RT - Residential Local,PM,BC - Bituminous Concrete,BURNSIDE AVE,(PM) Pavement Patching,ELM ST,0,774,26,774,SUMMER ST,54.92,48.48,41544.88,82
298,Polyline M,79,RT - Residential Local,RM,BC - Bituminous Concrete,BUCKINGHAM ST,(RM) Crack Seal,BEACON ST,0,345,26.5,345,DIMICK ST,64.04,78.12,1838.65,79
299,Polyline M,78,RT - Residential Local,RM,BC - Bituminous Concrete,BROWNING RD,(RM) Crack Seal,SYCAMORE ST,0,722,26,722,CENTRAL ST,63.36,75.92,3775.26,78
300,Polyline M,77,RT - Residential Local,RM,BC - Bituminous Concrete,BROOK ST,(RM) Crack Seal,GLEN ST,0,547,26,547,CROSS ST,64.34,79.1,2860.2,77
301,Polyline M,74,RT - Residential Local,RM,BC - Bituminous Concrete,BRISTOL RD,(RM) Crack Seal,MEDFORD TOWNLINE,0,194,26,194,BROADWAY (E),62.28,72.41,1014.4,74
302,Polyline M,73,RT - Residential Local,SI,BC - Bituminous Concrete,BRASTOW AVE,"(SI) 2"" Mill & Overlay Local w/ramps",LOWELL ST,0,728,26.5,728,PORTER ST,52.11,39.35,165289.91,73
303,Polyline M,72,RT - Residential Local,PM,BC - Bituminous Concrete,BRADLEY ST,(PM) Pavement Patching,PEARL ST,0,808,26.5,808,JACKSON RD,59.21,62.42,44203.86,72
304,Polyline M,71,RE - Residential Dead End,RM,BC - Bituminous Concrete,BRADFORD AVE,(RM) Crack Seal,SCHOOL ST,0,162,27,162,DEAD END,50.92,78,879.66,71
305,Polyline M,7,RT - Residential Local,PM,BC - Bituminous Concrete,ADRIAN ST,(PM) Pavement Patching,JOSEPH ST,0,620,27,620,MARION ST,57.7,57.52,34558.8,7
306,Polyline M,69,RE - Residential Dead End,DN,BC - Bituminous Concrete,BOWDOIN ST,Do Nothing,WASHINGTON ST,0,368,26,368,DEAD END,55.86,94.06,0,69
307,Polyline M,671,RT - Residential Local,DN,BC - Bituminous Concrete,MAINE TERR,Do Nothing,MAINE AVE,0,358,22,358,AUSTIN ST,70.08,97.77,0,671
308,Polyline M,670,RT - Residential Local,SI,BC - Bituminous Concrete,CYPRESS ST,"(SI) 2"" Mill & Overlay Local w/ramps",CENTRAL ST,0,299,26.5,299,BEECH ST,49.88,32.12,67886.87,670
309,Polyline M,67,CO - Collector,DN,BC - Bituminous Concrete,BOW ST,Do Nothing,WASHINGTON ST,0,1583,37,1583,CHURCH ST,82.93,97.02,0,67
310,Polyline M,669,RE - Residential Dead End,DN,BC - Bituminous Concrete,THORNDIKE ST (S),Do Nothing,DEAD END,0,129,26.5,129,KINGSTON ST,54.82,90.68,0,669
311,Polyline M,668,RE - Residential Dead End,RM,BC - Bituminous Concrete,THORNDIKE ST (N),(RM) Crack Seal,HOLLAND ST,0,476,26.5,476,DEAD END,50.66,77.16,2536.82,668
312,Polyline M,667,RT - Residential Local,RM,BC - Bituminous Concrete,RUSH ST (S),(RM) Crack Seal,PEARL ST,0,360,26,360,FLINT ST,60.97,68.14,1882.4,667
313,Polyline M,666,RE - Residential Dead End,RM,BC - Bituminous Concrete,RUSH ST (N),(RM) Crack Seal,BROADWAY (E),0,683,27,683,DEAD END,48.02,68.55,3708.69,666
314,Polyline M,665,RT - Residential Local,BR,BC - Bituminous Concrete,PROPERZI WAY (S),(BR) Recon/Reclaim Local w/ramps,HANSON ST,0,681,20,681,BEACON ST,44.92,16,212426.13,665
315,Polyline M,664,RT - Residential Local,PM,BC - Bituminous Concrete,PROPERZI WAY (N),(PM) Pavement Patching,SOMERVILLE AVE,0,419,26.5,419,TYLER ST,59.05,61.92,22922.52,664
316,Polyline M,663,RE - Residential Dead End,DN,BC - Bituminous Concrete,KENT ST (S),Do Nothing,DEAD END,0,418,18,418,BEACON ST,57.69,99.98,0,663
317,Polyline M,662,RE - Residential Dead End,DN,BC - Bituminous Concrete,KENT ST (N),Do Nothing,SOMERVILLE AVE,0,321,34,321,DEAD END,57.69,99.98,0,662
318,Polyline M,661,RT - Residential Local,DN,BC - Bituminous Concrete,GILMAN ST,Do Nothing,CROSS ST,0,1483,26.5,1483,WALNUT ST,68.48,92.57,0,661
319,Polyline M,660.1,CO - Collector,PM,BC - Bituminous Concrete,COLLEGE AVE,(PM) Pavement Patching,BROADWAY,2464,4017,40,1553,MEDFORD TOWNLINE,74.3,68.97,128243.25,660
320,Polyline M,660,CO - Collector,RM,BC - Bituminous Concrete,COLLEGE AVE,(RM) Crack Seal,ELM ST,0,2464,40,2464,BROADWAY,76.34,75.6,19821.51,660
321,Polyline M,66,RT - Residential Local,PM,BC - Bituminous Concrete,BOSTON ST,(PM) Pavement Patching,WASHINGTON ST,0,1933,26,1933,WALNUT ST,54.47,47.04,103754.81,66
322,Polyline M,659,RT - Residential Local,PM,BC - Bituminous Concrete,CENTRAL RD,(PM) Pavement Patching,CENTRAL ST,0,560,26,560,SYCAMORE ST,57.6,57.2,30058.35,659
323,Polyline M,658.5,AR - Arterial,SI,BC - Bituminous Concrete,BROADWAY (E),"(SI) 3"" Mill & Overlay Art/Col w/ramps",CUTTER ST,5103,6752,34,1649,BOSTON TOWNLINE,68.01,36.04,569817.85,658
324,Polyline M,658.4,AR - Arterial,SI,BC - Bituminous Concrete,BROADWAY (E),"(SI) 3"" Mill & Overlay Art/Col w/ramps",AUTUMN ST,3956,5103,34,1147,CUTTER ST,68.93,39.03,396349.57,658
325,Polyline M,658.3,AR - Arterial,SI,BC - Bituminous Concrete,BROADWAY (E),"(SI) 3"" Mill & Overlay Art/Col w/ramps",MONTGOMERY AVE,2951,3956,34,1005,AUTUMN ST,69.15,39.73,347281.4,658
326,Polyline M,658.2,AR - Arterial,RM,BC - Bituminous Concrete,BROADWAY (E),(RM) Crack Seal,SARGENT AVE,2266,2951,35,685,MONTGOMERY AVE,80.54,76.75,4821.64,658
327,Polyline M,658.1,AR - Arterial,SI,BC - Bituminous Concrete,BROADWAY (E),"(SI) 3"" Mill & Overlay Art/Col w/ramps",DARTMOUTH ST,1138,2266,34,1128,SARGENT AVE,69.84,41.97,389783.86,658
328,Polyline M,658,AR - Arterial,PM,BC - Bituminous Concrete,BROADWAY (E),(PM) Pavement Patching,CENTRAL ST,0,1138,36,1138,DARTMOUTH ST,77.23,66.01,84576.16,658
329,Polyline M,657.5,AR - Arterial,PM,BC - Bituminous Concrete,BROADWAY (W),(PM) Pavement Patching,BOND ST,5676,6317,32,641,CENTRAL ST,73.24,53.03,42345.86,657
330,Polyline M,657.4,AR - Arterial,PM,BC - Bituminous Concrete,BROADWAY (W),(PM) Pavement Patching,SCHOOL ST,5057,5676,33,619,BOND ST,77.29,66.19,42170.47,657
331,Polyline M,657.3,AR - Arterial,RM,BC - Bituminous Concrete,BROADWAY (W),(RM) Crack Seal,130' E OF MARSHALL ST,4383,5057,34,674,SCHOOL ST,82.28,82.4,4608.66,657
332,Polyline M,657.2,AR - Arterial,PM,BC - Bituminous Concrete,BROADWAY (W),(PM) Pavement Patching,320' OF FELLSWAY,3207,4383,35,1176,130' E OF MARSHALL ST,73.24,53.03,84972.47,657
333,Polyline M,657.1,AR - Arterial,RM,BC - Bituminous Concrete,BROADWAY (W),(RM) Crack Seal,CROSS ST EAST,2161,3207,40,1046,320' W OF FELLSWAY,82.3,82.48,8414.49,657
334,Polyline M,657,AR - Arterial,PM,BC - Bituminous Concrete,BROADWAY (W),(PM) Pavement Patching,ALFRED A LOMBARDI WY,0,2161,35,2161,CROSS ST EAST,77.61,67.24,156144.28,657
335,Polyline M,656,RE - Residential Dead End,DN,BC - Bituminous Concrete,BELMONT SQ,Do Nothing,BELMONT ST,0,206,20,206,DEAD END,53.98,87.95,0,656
336,Polyline M,655,RT - Residential Local,RM,BC - Bituminous Concrete,ABERDEEN RD,(RM) Crack Seal,CEDAR ST,0,470,26,470,HIGHLAND AVE,61.7,70.52,2457.58,655
337,Polyline M,654,CO - Collector,RM,BC - Bituminous Concrete,VINAL AVE,(RM) Crack Seal,SUMMER ST,0,1483,29.5,1483,HIGHLAND AVE,76.82,82.16,8798.3,654
338,Polyline M,653,RE - Residential Dead End,BR,BC - Bituminous Concrete,RUFO RD,(BR) Recon/Reclaim Local w/ramps,CAMBRIDGE TOWNLINE,0,881,40,881,McGRATH HWY,28.99,6.73,549627.16,653
339,Polyline M,652.3,CO - Collector,PM,BC - Bituminous Concrete,POWDER HOUSE BLVD,(PM) Pavement Patching,NORTH ST,4293,5194,40,901,ALEWIFE BROOK PKWY,73.5,68.88,74402.5,652
340,Polyline M,652.2,CO - Collector,SI,BC - Bituminous Concrete,POWDER HOUSE BLVD,"(SI) 3"" Mill & Overlay Art/Col w/ramps",CURTIS ST,2892,4293,40,1401,NORTH ST,65.55,43.04,569553.5,652
341,Polyline M,652.1,CO - Collector,SI,BC - Bituminous Concrete,POWDER HOUSE BLVD,"(SI) 3"" Mill & Overlay Art/Col w/ramps",MASON ST,1477,2892,40,1415,CURTIS ST,63.14,35.2,575244.77,652
342,Polyline M,652,CO - Collector,SI,BC - Bituminous Concrete,POWDER HOUSE BLVD,"(SI) 3"" Mill & Overlay Art/Col w/ramps",POWDER HOUSE ROTARY,0,1477,40,1477,MASON ST,62.46,32.98,600449.33,652
343,Polyline M,651,RT - Residential Local,PM,BC - Bituminous Concrete,OXFORD ST,(PM) Pavement Patching,SCHOOL ST,0,1395,24,1395,CENTRAL ST,54.89,48.4,69117.6,651
344,Polyline M,650,RT - Residential Local,PM,BC - Bituminous Concrete,OTIS ST (W),(PM) Pavement Patching,McGRATH HWY,0,350,26.5,350,WIGGLESWORTH ST,57.55,57.04,19147.8,650
345,Polyline M,65,RT - Residential Local,RM,BC - Bituminous Concrete,BONNER AVE,(RM) Crack Seal,WASHINGTON ST,0,432,27,432,COLUMBUS AVE,65.91,84.2,2345.76,65
346,Polyline M,649,RT - Residential Local,RM,BC - Bituminous Concrete,OTIS ST (E),(RM) Crack Seal,CROSS ST,0,798,26.5,798,McGRATH HWY,64.02,78.08,4252.9,649
347,Polyline M,648.1,CO - Collector,SI,BC - Bituminous Concrete,MIDDLESEX AVE,"(SI) 3"" Mill & Overlay Art/Col w/ramps",FOLEY ST,723,2118,60.5,1395,FELLSWAY WEST,66.61,46.47,857759.93,648
348,Polyline M,648,CO - Collector,PM,BC - Bituminous Concrete,MIDDLESEX AVE,(PM) Pavement Patching,MYSTIC AVE,0,723,60.5,723,FOLEY ST,68.26,51.86,90301.96,648
349,Polyline M,647,RT - Residential Local,DN,BC - Bituminous Concrete,FOLEY ST,Do Nothing,MIDDLESEX AVE,0,690,48,690,ASSEMBLY SQUARE DR,68.63,98.04,0,647
350,Polyline M,646,RE - Residential Dead End,PM,BC - Bituminous Concrete,COBBLE HILL RD,(PM) Pavement Patching,NEW WASHINGTON ST,0,796,26,796,DEAD END,45.96,61.86,42725.82,646
351,Polyline M,645,CO - Collector,PM,BC - Bituminous Concrete,BOSTON AVE (N),(PM) Pavement Patching,MEDFORD TOWNLINE (E),0,947,40,947,MEDFORD TOWNLINE (W),71.9,66.18,78201.18,645
352,Polyline M,644.1,CO - Collector,RM,BC - Bituminous Concrete,BOSTON AVE (S),(RM) Crack Seal,150' S OF PRICHARD AVE,1114,2219,33,1105,MEDFORD TOWNLINE,76.93,82.52,7333.52,644
353,Polyline M,644,CO - Collector,DN,BC - Bituminous Concrete,BOSTON AVE (S),Do Nothing,MORRISON AVE,0,1114,26.5,1114,150' S OF PRICHARD AVE,80.36,93.66,0,644
354,Polyline M,643,RT - Residential Local,DN,BC - Bituminous Concrete,BONAIR ST (E),Do Nothing,CROSS ST,0,797,26.5,797,McGRATH HWY,67.7,90.04,0,643
355,Polyline M,642,RT - Residential Local,DN,BC - Bituminous Concrete,BONAIR ST (W),Do Nothing,McGRATH HWY,0,733,27,733,WALNUT ST,68.18,91.6,0,642
356,Polyline M,641,RE - Residential Dead End,PM,BC - Bituminous Concrete,YORKTOWN ST,(PM) Pavement Patching,CAMBRIDGE TOWNLINE,0,294,26.5,294,MALVERN AVE,40.86,45.3,16084.15,641
357,Polyline M,640,RT - Residential Local,SI,BC - Bituminous Concrete,WYATT ST,"(SI) 2"" Mill & Overlay Local w/ramps",CONCORD AVE,0,548,27,548,LINCOLN PKWY,47,22.74,126768.84,640
358,Polyline M,64,RT - Residential Local,RM,BC - Bituminous Concrete,BOND ST,(RM) Crack Seal,BROADWAY (W),0,689,26,689,JAQUES ST,63.79,77.32,3602.7,64
359,Polyline M,638,RT - Residential Local,DN,BC - Bituminous Concrete,WOODSTOCK ST,Do Nothing,VICTORIA ST,0,360,26,360,ALEWIFE BROOK PKWY,69,94.25,0,638
360,Polyline M,637,RT - Residential Local,SI,BC - Bituminous Concrete,WOODS AVE,"(SI) 2"" Mill & Overlay Local w/ramps",NORTH ST,0,1218,26.5,1218,ALEWIFE BROOK PKWY,54.25,46.32,276541.91,637
361,Polyline M,635,RT - Residential Local,DN,BC - Bituminous Concrete,WISCONSIN AVE,Do Nothing,BROADWAY (W),0,549,27,549,PENNSYLVANIA AVE,68.21,91.68,0,635
362,Polyline M,634,RT - Residential Local,SI,BC - Bituminous Concrete,WINTER ST,"(SI) 2"" Mill & Overlay Local w/ramps",COLLEGE AVE,0,473,20,473,HOLLAND ST,51.49,37.35,81051.09,634
363,Polyline M,632,RT - Residential Local,SI,BC - Bituminous Concrete,WINSLOW AVE,"(SI) 2"" Mill & Overlay Local w/ramps",COLLEGE AVE,0,1184,27,1184,CLIFTON ST,51.85,38.5,273894.72,632
364,Polyline M,631,RT - Residential Local,PM,BC - Bituminous Concrete,WINDSOR ST,(PM) Pavement Patching,CAMBRIDGE TOWNLINE,0,560,25.5,560,SOUTH ST,60.89,67.88,29480.33,631
365,Polyline M,630,RT - Residential Local,RM,BC - Bituminous Concrete,WINDSOR RD,(RM) Crack Seal,HANCOCK ST,0,621,26,621,WILLOW AVE,64.75,80.45,3247.14,630
366,Polyline M,63,RT - Residential Local,SI,BC - Bituminous Concrete,BOLTON ST,"(SI) 2"" Mill & Overlay Local w/ramps",OAK ST,0,522,24.5,522,HOUGHTON ST,47.45,24.2,109573.31,63
367,Polyline M,628,RT - Residential Local,SI,BC - Bituminous Concrete,WINDOM ST,"(SI) 2"" Mill & Overlay Local w/ramps",ELM ST,0,353,26.5,353,SUMMER ST,53.45,43.72,80147.36,628
368,Polyline M,627,RT - Residential Local,RM,BC - Bituminous Concrete,WILTON ST,(RM) Crack Seal,LOWELL ST,0,509,24,509,HINCKLEY ST,63.45,76.2,2456.77,627
369,Polyline M,626,RE - Residential Dead End,RM,BC - Bituminous Concrete,WILSON AVE,(RM) Crack Seal,BROADWAY (E),0,352,23,352,DEAD END,52.11,81.87,1628.2,626
370,Polyline M,625,RT - Residential Local,RM,BC - Bituminous Concrete,WILLOW ST,(RM) Crack Seal,SOUTH ST,0,197,17,197,CAMBRIDGE TOWNLINE,63.59,76.68,673.52,625
371,Polyline M,624.1,CO - Collector,DN,BC - Bituminous Concrete,WILLOW AVE,Do Nothing,HIGHLAND ST,1125,3588,33.5,2463,BROADWAY (E),82.29,99.94,0,624
372,Polyline M,624,CO - Collector,DN,BC - Bituminous Concrete,WILLOW AVE,Do Nothing,CAMBRIDGE TOWNLINE,0,1125,33.5,1125,HIGHLAND ST,82.23,99.75,0,624
373,Polyline M,623,RT - Residential Local,SI,BC - Bituminous Concrete,WILLOUGHBY ST,"(SI) 2"" Mill & Overlay Local w/ramps",CENTRAL ST,0,460,26,460,SYCAMORE ST,53.16,42.76,102470.71,623
374,Polyline M,621,RT - Residential Local,SI,BC - Bituminous Concrete,WILLIAM ST,"(SI) 2"" Mill & Overlay Local w/ramps",COLLEGE AVE,0,434,26.5,434,CHANDLER ST,48.36,27.16,98538.1,621
375,Polyline M,620,RT - Residential Local,RM,BC - Bituminous Concrete,WIGGLESWORTH ST,(RM) Crack Seal,PEARL ST,0,789,27,789,BONAIR ST (W),65.03,81.35,4284.27,620
376,Polyline M,619,RT - Residential Local,PM,BC - Bituminous Concrete,WHITMAN ST,(PM) Pavement Patching,MASON ST,0,683,26.5,683,PACKARD AVE,54.82,48.16,37365.49,619
377,Polyline M,618,RT - Residential Local,PM,BC - Bituminous Concrete,WHITFIELD RD,(PM) Pavement Patching,PACKARD AVE,0,738,26.5,738,CURTIS ST,55.21,49.44,40374.34,618
378,Polyline M,617,RT - Residential Local,PM,BC - Bituminous Concrete,WHITE ST,(PM) Pavement Patching,ELM ST,0,31,20.5,31,CAMBRIDGE TOWNLINE,58.78,61.04,1311.93,617
379,Polyline M,614,RT - Residential Local,SI,BC - Bituminous Concrete,WHEELER ST,"(SI) 2"" Mill & Overlay Local w/ramps",MOUNT VERNON ST,0,313,26,313,PINCKNEY ST,47.85,25.52,69724.4,614
380,Polyline M,613.1,RT - Residential Local,SI,BC - Bituminous Concrete,WHEATLAND ST,"(SI) 2"" Mill & Overlay Local w/ramps",JAQUES ST,611,1483,27,872,DEAD END,46.48,36.05,201719.76,613
381,Polyline M,613,RT - Residential Local,SI,BC - Bituminous Concrete,WHEATLAND ST,"(SI) 2"" Mill & Overlay Local w/ramps",BROADWAY (W),0,611,27,611,JAQUES ST,48.82,28.66,141342.63,613
382,Polyline M,612,RT - Residential Local,DN,BC - Bituminous Concrete,WESTWOOD RD,Do Nothing,CENTRAL ST,0,524,26.5,524,BENTON RD,68.8,93.59,0,612
383,Polyline M,610,RT - Residential Local,DN,BC - Bituminous Concrete,WESTMINSTER ST,Do Nothing,BROADWAY (E),0,428,26.5,428,ELECTRIC AVE,70.74,99.9,0,610
384,Polyline M,609,RE - Residential Dead End,DN,BC - Bituminous Concrete,WEST ST,Do Nothing,HAWTHORNE ST,0,264,19.5,264,HIGHLAND AVE,57.68,99.97,0,609
385,Polyline M,608,RT - Residential Local,DN,BC - Bituminous Concrete,WEST QUINCY ST,Do Nothing,MEDFORD TOWNLINE,0,311,26.5,311,BAILEY ST,68.23,91.76,0,608
386,Polyline M,607,RT - Residential Local,RM,BC - Bituminous Concrete,WEST ADAMS ST,(RM) Crack Seal,MEDFORD TOWNLINE,0,729,26.5,729,CONWELL AVE,65.91,84.2,3885.17,607
387,Polyline M,606,RT - Residential Local,PM,BC - Bituminous Concrete,WESLEY ST,(PM) Pavement Patching,PEAR ST,0,561,26.5,561,OTIS ST (W),55.48,50.32,30691,606
388,Polyline M,605,RE - Residential Dead End,DN,BC - Bituminous Concrete,WESLEY PARK,Do Nothing,SUMMER ST,0,400,26.5,400,CUL-DE-SAC,57.69,99.98,0,605
389,Polyline M,604,RE - Residential Dead End,PM,BC - Bituminous Concrete,WELLINGTON AVE,(PM) Pavement Patching,WALNUT ST,0,215,26.5,215,MONTGOMERY AVE,46.23,62.76,11762.25,604
390,Polyline M,603,RE - Residential Dead End,PM,BC - Bituminous Concrete,WEBSTER ST,(PM) Pavement Patching,FRANKLIN ST,0,553,24,553,GLEN ST,41.3,46.74,27399.37,603
391,Polyline M,602.1,CO - Collector,SI,BC - Bituminous Concrete,WEBSTER AVE,"(SI) 3"" Mill & Overlay Art/Col w/ramps",PROSPECT ST,976,1977,34,1001,CAMBRIDGE TOWNLINE,65.49,45.35,345899.29,602
392,Polyline M,602,CO - Collector,PM,BC - Bituminous Concrete,WEBSTER AVE,(PM) Pavement Patching,WASHINGTON ST,0,976,34,976,PROSPECT ST,69.78,59.28,68506.5,602
393,Polyline M,600,RT - Residential Local,SI,BC - Bituminous Concrete,WATSON ST,"(SI) 2"" Mill & Overlay Local w/ramps",BROADWAY (E),0,292,26,292,FAIRMOUNT AVE,53.67,44.44,65046.91,600
394,Polyline M,599,RT - Residential Local,DN,BC - Bituminous Concrete,WATERHOUSE ST,Do Nothing,BROADWAY (E),0,1010,26.5,1010,CAMBRIDGE TOWNLINE,70.74,99.9,0,599
395,Polyline M,597.1,AR - Arterial,PM,BC - Bituminous Concrete,WASHINGTON ST (W),(PM) Pavement Patching,MEDFORD ST,2540,3662,49,1122,PROSPECT ST,74.38,56.74,113499.09,597
396,Polyline M,597,AR - Arterial,DN,BC - Bituminous Concrete,WASHINGTON ST (W),Do Nothing,BOSTON TOWNLINE,0,2540,58,2540,MEDFORD ST,85.47,92.78,0,597
397,Polyline M,595,RT - Residential Local,DN,BC - Bituminous Concrete,WARWICK ST,Do Nothing,CEDAR ST,0,965,25.5,965,CLYDE ST,67.14,88.2,0,595
398,Polyline M,594,RT - Residential Local,SI,BC - Bituminous Concrete,WARREN ST,"(SI) 2"" Mill & Overlay Local w/ramps",CAMBRIDGE TOWNLINE,0,129,21,129,MEDFORD ST,50.46,34,23210.11,594
399,Polyline M,593,RT - Residential Local,PM,BC - Bituminous Concrete,WARREN AVE,(PM) Pavement Patching,BOW ST,0,712,26.5,712,COLUMBUS AVE,54.65,47.6,38951.86,593
400,Polyline M,592,RT - Residential Local,PM,BC - Bituminous Concrete,WARNER ST,(PM) Pavement Patching,POWDER HOUSE ROTARY,0,547,39.5,547,MEDFORD TOWNLINE,60.33,66.08,44605.38,592
401,Polyline M,591,RT - Residential Local,RM,BC - Bituminous Concrete,WARE ST,(RM) Crack Seal,CURTIS ST,0,790,26,790,RUSSELL RD,63.79,77.32,4130.82,591
402,Polyline M,590,RT - Residential Local,SI,BC - Bituminous Concrete,WARD ST,"(SI) 2"" Mill & Overlay Local w/ramps",MEDFORD ST,0,473,20,473,HARDING ST,48.01,26.04,81051.09,590
403,Polyline M,59,RT - Residential Local,SI,BC - Bituminous Concrete,BILLINGHAM ST,"(SI) 2"" Mill & Overlay Local w/ramps",WILLIAM ST,0,628,26,628,BROADWAY (E),53.21,42.94,139894.5,59
404,Polyline M,589,RE - Residential Dead End,RM,BC - Bituminous Concrete,WALTER TER,(RM) Crack Seal,JACKSON RD,0,238,26,238,DEAD END,52.27,82.38,1244.48,589
405,Polyline M,588.2,CO - Collector,PM,BC - Bituminous Concrete,WALNUT ST,(PM) Pavement Patching,PEARL ST,2584,4009,26,1425,BROADWAY (E),70.23,60.75,76487.73,588
406,Polyline M,588.1,CO - Collector,RM,BC - Bituminous Concrete,WALNUT ST,(RM) Crack Seal,MEDFORD ST,2008,2584,26,576,PEARL ST,78.35,87.13,3011.84,588
407,Polyline M,588,CO - Collector,DN,BC - Bituminous Concrete,WALNUT ST,Do Nothing,BOW ST,0,2008,25.5,2008,MEDFORD ST,82.26,99.86,0,588
408,Polyline M,587,RE - Residential Dead End,RM,BC - Bituminous Concrete,WALNUT RD,(RM) Crack Seal,WALNUT ST,0,369,26,369,DEAD END,47.51,66.9,1929.46,587
409,Polyline M,586,RT - Residential Local,DN,BC - Bituminous Concrete,WALLACE ST,Do Nothing,HOLLAND ST,0,1417,26,1417,BROADWAY (E),67.11,88.12,0,586
410,Polyline M,585,RT - Residential Local,DN,BC - Bituminous Concrete,WALKER ST,Do Nothing,BROADWAY (E),0,757,26.5,757,LEONARD ST,67.47,89.28,0,585
411,Polyline M,584,RT - Residential Local,PM,BC - Bituminous Concrete,WALDO ST,(PM) Pavement Patching,HIGHLAND AVE,0,339,26,339,HUDSON ST,59.94,64.82,18195.95,584
412,Polyline M,583,RT - Residential Local,PM,BC - Bituminous Concrete,WALDO AVE,(PM) Pavement Patching,DIMICK ST,0,332,27,332,BEACON ST,59.96,64.88,18505.68,583
